"","Coded.ID","Grade.Level","Year","PSAT","Class.Absences","X2.D.Art.and.Design","X3.D.Art.and.Design","Art.History","Biology","Calculus.AB","Calculus.BC","Calculus.BC..AB.Subscore","Chemistry","Computer.Science.A","Computer.Science.Principles","English.Language.and.Composition","English.Literature.and.Composition","Environmental.Science","European.History","Latin","Physics.C..Electricity.and.Magnetism","Physics.C..Mechanics","Spanish.Language.and.Culture","Statistics","United.States.History","World.History..Modern","X","Quantitative Reasoning","Verbal Reasoning"
"247",173,"11th Grade",2023,1320,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,78,75
"248",174,"12th Grade",2023,1340,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"249",174,"11th Grade",2022,1340,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"250",175,"12th Grade",2023,930,83,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,25
"251",175,"11th Grade",2022,930,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36,25
"252",176,"11th Grade",2022,920,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,24,36
"253",177,"11th Grade",2023,950,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,55
"254",178,"12th Grade",2023,970,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,17
"255",178,"11th Grade",2022,970,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,24,17
"256",179,"11th Grade",2023,1140,62,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,85
"257",179,"10th Grade",2022,1140,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,47,85
"258",180,"11th Grade",2023,1140,98,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",181,"11th Grade",2023,930,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,13,45
"260",182,"12th Grade",2023,990,97,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,29
"261",182,"11th Grade",2022,990,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,29
"262",183,"12th Grade",2023,1330,77,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,89,77
